English word,French word,Frequency,,
abide,respecter,27,,
about,sur,308,,
above,au dessus,96,,
abroad,à l'étranger,20,,
absence,absence,34,,
abuse,abuser de,24,,
according,selon,23,,
account,Compte,30,,
accuse,accuser,30,,
acquainted,connaissance,34,,
action,action,67,,
advantage,avantage,50,,
advice,Conseil,19,,
affairs,affaires,37,,
affection,affection,38,,
affections,affections,24,,
afraid,peur,25,,
after,après,267,,
afterwards,ensuite,29,,
again,encore,242,,
alive,vivant,35,,
almost,presque,135,,
alone,seul,79,,
along,le long de,57,,
already,déjà,62,,
although,bien que,33,,
always,toujours,55,,
ambition,ambition,16,,
ancient,ancien,59,,
angel,ange,35,,
anger,colère,30,,
another,un autre,248,,
answer,répondre,255,,
anything,n'importe quoi,65,,
apparel,vêtements,24,,
appear,apparaître,79,,
appears,apparaît,39,,
approach,approche,30,,
argument,argument,38,,
ariel,Ariel,0,,
armour,armure,27,,
aside,de côté,24,,
asleep,endormi,13,,
assure,assurer,45,,
athens,Athènes,0,,
attend,assister,85,,
attended,assisté,28,,
authority,autorité,27,,
avoid,éviter,22,,
awake,éveillé,25,,
awhile,quelque temps,22,,
banish,bannir,28,,
barren,Dénudé,31,,
bassianus,bassianus,0,,
bastard,Connard,46,,
battle,bataille,68,,
beard,barbe,40,,
bearing,palier,52,,
bears,ours,80,,
beast,la bête,36,,
beaten,battu,32,,
beauty,beauté,132,,
because,car,80,,
become,devenir,123,,
bedford,Bedford,0,,
before,avant,486,,
beggar,mendiant,23,,
begin,commencer,69,,
behalf,nom,24,,
behind,derrière,72,,
behold,voir,94,,
being,étant,526,,
believe,croyez,159,,
belike,être comme,11,,
below,au dessous de,29,,
benefit,avantage,29,,
besides,outre,29,,
betray,trahir,36,,
better,mieux,474,,
between,entre,183,,
beyond,au-delà,40,,
birth,naissance,30,,
bishop,évêque,3,,
bitter,amer,64,,
black,noir,109,,
blame,faire des reproches,55,,
bless,bénir,82,,
blessing,bénédiction,22,,
blest,heureux,35,,
blind,aveugle,48,,
blood,du sang,338,,
blows,coups,37,,
blunt,cru,21,,
blush,rougir,30,,
bodies,corps,30,,
bones,des os,37,,
borne,supporté,60,,
bottom,bas,28,,
bought,acheté,42,,
bound,lié,126,,
bounty,prime,22,,
brain,cerveau,43,,
brains,cerveaux,22,,
brave,courageux,134,,
breast,Sein,35,,
breath,souffle,115,,
breed,race,39,,
brief,bref,35,,
bright,brillant,50,,
bring,apporter,362,,
broke,cassé,70,,
brook,ruisseau,29,,
brother,frère,259,,
brought,apporté,178,,
brows,sourcils,21,,
burden,fardeau,27,,
buried,enterré,35,,
burning,brûlant,36,,
business,Entreprise,130,,
cannot,ne peux pas,676,,
capitol,Capitole,0,,
captain,capitaine,29,,
cardinal,cardinal,3,,
cares,se soucie,26,,
carry,porter,73,,
castle,Château,16,,
catch,capture,56,,
cause,cause,207,,
cease,cesser,27,,
certain,certain,116,,
chain,chaîne,30,,
chair,chaise,16,,
challenge,défi,34,,
chamber,chambre,41,,
chance,chance,69,,
change,changement,113,,
charge,charge,128,,
charity,charité,23,,
chaste,chaste,24,,
cheek,joue,38,,
cheer,acclamation,41,,
chide,gronder,35,,
chief,chef,27,,
child,enfant,92,,
choice,choix,36,,
church,église,21,,
cinna,cinna,0,,
citizen,citoyenne,3,,
civil,civil,42,,
claim,prétendre,50,,
clarence,clarté,0,,
claud,claud,0,,
claudio,Claudio,0,,
clear,clair,42,,
clifford,Clifford,0,,
close,proche,61,,
cloten,cailloter,0,,
clothes,vêtements,22,,
clouds,des nuages,35,,
clown,pitre,6,,
college,Université,3,,
colour,Couleur,46,,
comes,vient,487,,
comfort,confort,110,,
coming,venir,77,,
cominius,cominius,0,,
command,commander,85,,
commanded,commandé,24,,
commend,saluer,53,,
commercial,commercial,0,,
commission,commission,27,,
commit,commettre,25,,
common,commun,135,,
companion,un compagnon,19,,
company,entreprise,72,,
complete,Achevée,14,,
complexion,complexion,23,,
condition,état,30,,
conduct,conduite,40,,
confess,avouer,82,,
conscience,conscience,60,,
consent,consentement,51,,
consider,considérer,30,,
constable,gendarme,6,,
constant,constant,36,,
contempt,mépris,19,,
content,contenu,79,,
contrary,contraire,20,,
copies,copies,3,,
copyright,droits d'auteur,7,,
could,pourrait,533,,
council,conseil,8,,
counsel,Conseil,63,,
count,compter,29,,
counterfeit,contrefaire,28,,
countess,comtesse,1,,
country,pays,77,,
courage,courage,31,,
course,cours,100,,
court,tribunal,107,,
courtesy,courtoisie,17,,
cousin,cousin,94,,
coward,lâche,36,,
crave,demander,39,,
creature,créature,35,,
credit,crédit,30,,
cromwell,Cromwell,0,,
cross,traverser,46,,
crown,couronne,120,,
cruel,cruel,54,,
cunning,ruse,56,,
cupid,Cupidon,0,,
curse,malédiction,69,,
custom,Douane,22,,
dagger,dague,24,,
damned,damné,42,,
dance,Danse,34,,
danger,danger,54,,
darkness,obscurité,23,,
daughter,fille,189,,
deadly,mortel,41,,
dearest,très cher,51,,
dearly,chèrement,20,,
death,décès,328,,
deeds,actes,71,,
defend,défendre,60,,
degree,diplôme,22,,
delight,délice,34,,
deliver,livrer,74,,
demand,demande,33,,
denied,refusé,38,,
depart,partir,33,,
desert,désert,24,,
deserve,mériter,47,,
desire,le désir,161,,
despair,désespoir,22,,
desperate,désespéré,41,,
despite,malgré,34,,
device,dispositif,17,,
devil,diable,126,,
devise,concevoir,34,,
didst,didst,140,,
dinner,dîner,22,,
discourse,discours,30,,
discover,découvrir,27,,
disgrace,disgrâce,30,,
dishonour,déshonorer,31,,
dispatch,envoi,29,,
displeasure,mécontentement,23,,
disposition,disposition,23,,
distributed,distribué,1,,
divine,Divin,28,,
doctor,docteur,11,,
doing,Faire,43,,
dolabella,Dolabella,0,,
doors,des portes,34,,
double,double,62,,
doubt,doute,107,,
download,Télécharger,0,,
dramatis,dramatis,0,,
drawn,tiré,53,,
dread,crainte,40,,
dreadful,horrible,57,,
